"id_rekordi","emri_plote","datelindja_raw","gjinia","nid","adresa","telefoni","email","data_regjistrimit","flamuri_anomalise"
"REK-0032","petrit bytyqi","08-08--511","mashkull","11080839817","Barrikadave, nr 137 ap 16 - Laç (4601)","066 8922716","petrit_bytyqi@live.com","05-Dhjetor-2020","ASNJË"
"REK-0033","besnik leka","04-12--4540","Female","54041243974","Sheshi Reshit Çollaku, 63/47, Lushnjë","(067) 680 6887","besnikl37@abcom.al","09/06/2023","ASNJË"
"REK-0034","Hysen MURATI","-10871226","Femër","08122611143","Sheshi. Muhamet Gjollesha no.70 apt.45, Berat","+355-69-432-0706","murati.hysen@live.com","14-Mars-2022","ASNJË"
"REK-0035","Gerta Islami","10/10/-2274","Femër","271010-67555","Lagja Lidhja e Prizrenit, 28/24, Burrel","+355-66-109-7633","gislami@hotmail.com","April 17, 2021","ASNJË"
"REK-0036","BASHKIM KASTRATI","-1690518","mashkull","69051841761","Sheshi Ismail Qemali Nr. 9, Ap. 2, Fier 9301","+355-66-740-8406","kastrati.bashkim@gov.al","26.11.2024","ASNJË"
"REK-0037","KLEVIS BRAHIMI","19.02.-4324","Male","32021923034","LAGJA BAJRAM CURRI 141, 8301 Peshkopi","00355687075878","klevis_brahimi@yahoo.com","02/12/2024","ASNJË"
"REK-0038","ORNELA Zeka","December 3, -4001","Femër","00120364034","Rr. Ismail Qemali 116, SARANDË","+355 68 673 0413","ORNELA.ZEKA@abcom.al","10/07/22","ASNJË"
"REK-0039","drita MALOKU","30/01/30","Male","23013084721","Lagja Reshit Çollaku Nr. 36, Ap. 19, Tiranë 1001","(066) 255 0163","DRITA.MALOKU@gov.al","22/08/22","ASNJË"
"REK-0040","dorina osmani","30.6.-349","mashkull","49063062122","Rr. Reshit Çollaku 13, VLORË","066.856.4662","dorina_osmani@gmail.com","11 Qershor 2023","ASNJË"
"REK-0041","Luljeta Demiri","-36410907","FEMËR","640907-66424","Rruga. Ali Demi no.50 apt.18, Krujë","00355671618767","luljeta_demiri@yahoo.com","25/12/2024","ASNJË"
"REK-0042","GRAMOZ Krasniqi","Shtator 7, -3641","MASHKULL","64090741025","Rr. Muhamet Gjollesha 88, BERAT","067-442-6628","gramozk3@gov.al","20221201","ASNJË"
"REK-0043","Entela MURATI","18900512","mashkull","22052976154","L. 10, Rr. Muhamet Gjollesha, Nd. 111, Fier","(067) 521 9734","entelam51@edu.al","03-09-2025","MOSHA_MBI_120_VJET"
"REK-0044","MËRGIM BAJRAMI","13-Prill--1536","F","530413-36937","Bulevardi Naim Frashëri Nr. 32, Ap. 29, Vlorë 9401","+355 67 775 1956","mergim.bajrami@live.com","Janar 8, 2022","ASNJË"
"REK-0045","ISMET PLLANA","10-Korrik--1896","F","89071004024","Rr. Lidhja e Prizrenit 136, FIER","00355661170537","ISMET.PLLANA@gov.al","May 11, 2021","ASNJË"
"REK-0046","Arben AHMETI","03170120","Female","17012012405","Skënderbeu, nr 106 ap 9 - Peshkopi (8301)","+355 68 596 7175","arben_ahmeti@hotmail.com","20211222","ASNJË"
"REK-0047","Manjola Bektashi","October 3, 2026","MASHKULL","36022875185","Dëshmorët e Kombit, nr 99 ap 30 - Peshkopi (8301)","067-460-5723","manjola.bektashi@edu.al","10.02.2025","DATËLINDJE_NË_TË_ARDHMEN"
"REK-0048","IRENA KELMENDI","07-16--3425","F","42071656266","Sheshi. Barrikadave no.3 apt.10, Elbasan","066 8099551","ikelmendi@hotmail.com","23/04/2021","ASNJË"
"REK-0049","petrit brahimi","-6190903","Mashkull","19090332765","L. 1, Rr. Myslym Shyri, Nd. 8, Berat","+355-68-821-0564","petrit.brahimi@live.com","January 5, 2025","ASNJË"
"REK-0050","afërdita KASTRATI","26 Mars 0047","M","47032686981","L. 12, Rr. Myslym Shyri, Nd. 15, Shkodër","+355 66 187 7683","AFERDITA.KASTRATI@gmail.com","September 28, 2021","ASNJË"
